model,roc_auc,prc_auc,time_seconds
model_0,0.7926244878116536,0.39490533374318926,723.8375415802002
model_1,0.845336481700118,0.43853504196279736,696.142823934555
model_2,0.8493759071117563,0.45716705701054555,702.7852258682251
model_3,0.7772278664731495,0.23348902102302818,691.6983950138092
model_4,0.7904851264943007,0.18336795761672084,681.9225461483002
model_5,0.767638036809816,0.36639107972485196,688.407806634903
model_6,0.8180598159509203,0.36904122988059057,693.9531996250153
model_7,0.7898665306469438,0.34071174701907136,687.4363422393799
model_8,0.8406321263090621,0.47439944319961536,705.8030304908752
model_9,0.8174116798846431,0.24572796649209924,734.8117322921753
